Dvůr Králové nad Labem;Borovnice;315
Kostelec nad Orlicí;Borovnice;331
Vlašim;Borovnice;72
Dvůr Králové nad Labem;Borovnička;159
Tišnov;Borovník;87
Blovice;Borovno;81
Přeštice;Borovy;190
Uherské Hradiště;Boršice;1860
Uherské Hradiště;Boršice u Blatnice;700
Jihlava;Boršov;144
České Budějovice;Boršov nad Vltavou;1576
Moravská Třebová;Borušov;151
Velké Meziříčí;Bory;665
Brandýs nad Labem-Stará Boleslav;Bořanovice;675
Holešov;Bořenovice;168
Hustopeče;Bořetice;1096
Pelhřimov;Bořetice;63
Jindřichův Hradec;Bořetín;87
Pelhřimov;Bořetín;92
Chrudim;Bořice;167
Teplice;Bořislav;352
Blansko;Bořitov;1108
Mnichovo Hradiště;Boseň;406
Boskovice;Boskovice;9690
Znojmo;Boskovštejn;134
Vimperk;Bošice;288
České Budějovice;Bošilec;174
Vysoké Mýto;Bošín;87
Slavkov u Brna;Bošovice;1012
Písek;Boudy;157
Prostějov;Bousín;115
Chrudim;Bousov;178
Litovel;Bouzov;1290
Semily;Bozkov;490
Broumov;Božanov;276
Pelhřimov;Božejov;529
Milevsko;Božetice;318
Ostrov;Boží Dar;192
Znojmo;Božice;1276
Karlovy Vary;Božičany;499
Tábor;Bradáčov;43
Jičín;Brada-Rybníček;138
Mladá Boleslav;Bradlec;1012
Semily;Bradlecká Lhota;197
Čáslav;Brambory;109
Most;Braňany;1042
Litvínov;Brandov;221
Brandýs nad Labem-Stará Boleslav;Brandýs nad Labem-Stará Boleslav;14083
Ústí nad Orlicí;Brandýs nad Orlicí;1123
Kladno;Brandýsek;1602
Milevsko;Branice;251
Tišnov;Braníškov;164
České Budějovice;Branišov;214
Pohořelice;Branišovice;496
Opava;Branka u Opavy;934
Bučovice;Brankovice;762
Valašské Meziříčí;Branky;830
Šumperk;Branná;236
Rakovník;Branov;182
Třebíč;Bransouze;208
Krnov;Brantice;1185
Mnichovo Hradiště;Branžež;213
Kladno;Braškov;911
Židlochovice;Bratčice;559
Čáslav;Bratčice;341
Příbram;Bratkovice;273
Blatná;Bratronice;47
Kladno;Bratronice;777
Šumperk;Bratrušov;542
Vizovice;Bratřejov;664
Pacov;Bratřice;125
Opava;Bratříkovice;131
Černošice;Bratřínov;164
Bílovec;Bravantice;781
Brandýs nad Labem-Stará Boleslav;Brázdim;578
Karlovy Vary;Bražec;181
Český Krumlov;Brloh;887
Přelouč;Brloh;199
Litoměřice;Brňany;363
Svitavy;Brněnec;1098
Zábřeh;Brníčko;560
Domažlice;Brnířov;333
Česká Lípa;Brniště;1111
Brno;Brno;317346
Mikulov;Brod nad Dyjí;458
Tachov;Brod nad Tichou;207
Mladá Boleslav;Brodce;858
Louny;Brodec;72
Konice;Brodek u Konice;714
Prostějov;Brodek u Prostějova;1279
Přerov;Brodek u Přerova;1658
Kralovice;Brodeslavy;64
Broumov;Broumov;6340
Tachov;Broumov;109
Beroun;Broumy;801
Litoměřice;Brozany nad Ohří;1088
Jihlava;Brtnice;3174
Jihlava;Brtnička;89
Blansko;Brťov-Jeneč;298
Tišnov;Brumov;215
Valašské Klobouky;Brumov-Bylnice;4719
Hustopeče;Brumovice;819
Opava;Brumovice;1270
Bruntál;Bruntál;13937
Bystřice pod Hostýnem;Brusné;318
Frýdek-Místek;Brušperk;3443
Frýdek-Místek;Bruzovice;760
Roudnice nad Labem;Brzánky;72
Náchod;Brzice;198
Jihlava;Brzkov;233
Rokycany;Břasy;1871
Břeclav;Břeclav;20938
České Budějovice;Břehov;143
Přelouč;Břehy;871
Kroměříž;Břest;805
Uherské Hradiště;Břestek;705
Havlíčkův Brod;Břevnice;126
Velké Meziříčí;Březejc;129
Blatná;Březí;59
Mikulov;Březí;1391
Velké Meziříčí;Březí;161
Říčany;Březí;426
Žďár nad Sázavou;Březí nad Oslavou;231
Jindřichův Hradec;Březina;113
Vyškov;Březina;0
Jičín;Březina;102
Moravská Třebová;Březina;300
Rokycany;Březina;304
Mnichovo Hradiště;Březina;343
Šlapanice;Březina (dříve okres Blansko);817
Tišnov;Březina (dříve okres Tišnov);275
Moravská Třebová;Březinky;109
Polička;Březiny;123
Tábor;Březnice;192
Příbram;Březnice;2999
Zlín;Březnice;1117
Náměšť nad Oslavou;Březník;573
Mladá Boleslav;Březno;809
Chomutov;Březno;1170
Uherské Hradiště;Březolupy;1422
Karlovy Vary;Březová;446
Sokolov;Březová;2326
Vítkov;Březová;1152
Hořovice;Březová;277
Uherský Brod;Březová;867
Vizovice;Březová;415
Svitavy;Březová nad Svitavou;1371
Černošice;Březová-Oleško;982
Mladá Boleslav;Březovice;248
Velké Meziříčí;Březské;145
Konice;Březsko;182
Zlín;Březůvky;586
Znojmo;Břežany;750
Horažďovice;Břežany;158
Rakovník;Břežany;109
Kolín;Břežany I;256
Český Brod;Břežany II;602
Rýmařov;Břidličná;2809
Český Brod;Bříství;284
Hořice;Bříšťany;214
Roudnice nad Labem;Bříza;350
Louny;Břvany;279
Kraslice;Bublava;354
Beroun;Bubovice;413
Nýřany;Bučí;145
Vysoké Mýto;Bučina;214
Bučovice;Bučovice;5489
Jičín;Budčeves;135
Dačice;Budeč;188
Žďár nad Sázavou;Budeč;167
Sušice;Budětice;262
Konice;Budětsko;338
Humpolec;Budíkov;266
Nymburk;Budiměřice;534
Soběslav;Budislav;323
Litomyšl;Budislav;385
Dačice;Budíškovice;585
Třebíč;Budišov;1025
Vítkov;Budišov nad Budišovkou;2476
Opava;Budišovice;622
Prachatice;Budkov;73
Moravské Budějovice;Budkov;294
Vodňany;Budyně;36
Roudnice nad Labem;Budyně nad Ohří;1816
Uherské Hradiště;Buchlovice;2131
Kaplice;Bujanov;439
Rokycany;Bujesily;58
Vimperk;Buk;247
Přerov;Buk;333
Bystřice nad Pernštejnem;Bukov;156
Prostějov;Buková;271
Přeštice;Buková;202
Příbram;Buková u Příbramě;313
Kyjov;Bukovany;625
Sokolov;Bukovany;1338
Olomouc;Bukovany;551
Benešov;Bukovany;626
Příbram;Bukovany;74
Jablunkov;Bukovec;1126
Stod;Bukovec;91
Tišnov;Bukovice;65
Náchod;Bukovice;306
Blansko;Bukovina;335
Pardubice;Bukovina nad Labem;199
Jilemnice;Bukovina u Čisté;174
Přelouč;Bukovina u Přelouče;74
Blansko;Bukovinka;451
